Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,OCCUPATION,COMPOSITE_BREAKDOWN,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2019,A,0,"Higher-Level Courts include Court of Appeal, High Courts, Employment & Labour Court and Environment & Land Court.
The Personnel at Lower-Level Courts include Magistrates and Kadhis.
Working age in Kenya is 18 to 69 for Judges and 18-59 for the other cadres.",Judiciary; 2019 KPH Census,SG_DMK_JDC,404,None,Y0T44,ISCO08_2612,None,RO,2025-03-24T00:00:00,2019,0.66067
2019,A,0,"Higher-Level Courts include Court of Appeal, High Courts, Employment & Labour Court and Environment & Land Court.
The Personnel at Lower-Level Courts include Magistrates and Kadhis.
Working age in Kenya is 18 to 69 for Judges and 18-59 for the other cadres.",Judiciary; 2019 KPH Census,SG_DMK_JDC,404,None,Y0T44,ISCO08_2619R,None,RO,2025-03-24T00:00:00,2019,0.28359
2019,A,0,"Higher-Level Courts include Court of Appeal, High Courts, Employment & Labour Court and Environment & Land Court.
The Personnel at Lower-Level Courts include Magistrates and Kadhis.
Working age in Kenya is 18 to 69 for Judges and 18-59 for the other cadres.","KNBS, Economic Survey 2023",SG_DMK_JDC,404,F,None,ISCO08_2612,None,RO,2025-03-24T00:00:00,2023,0.941
2023,A,0,"Higher-Level Courts include Court of Appeal, High Courts, Employment & Labour Court and Environment & Land Court.
The Personnel at Lower-Level Courts include Magistrates and Kadhis.
Working age in Kenya is 18 to 69 for Judges and 18-59 for the other cadres.","KNBS, Economic Survey 2023",SG_DMK_JDC,404,F,None,ISCO08_2612,None,RO,2025-03-24T00:00:00,2023,1.08067
2019,A,0,"Higher-Level Courts include Court of Appeal, High Courts, Employment & Labour Court and Environment & Land Court.
The Personnel at Lower-Level Courts include Magistrates and Kadhis.
Working age in Kenya is 18 to 69 for Judges and 18-59 for the other cadres.",Judiciary; 2019 KPH Census,SG_DMK_JDC,404,F,None,ISCO08_2619R,None,RO,2025-03-24T00:00:00,2019,1.11111
2019,A,0,"Higher-Level Courts include Court of Appeal, High Courts, Employment & Labour Court and Environment & Land Court.
The Personnel at Lower-Level Courts include Magistrates and Kadhis.
Working age in Kenya is 18 to 69 for Judges and 18-59 for the other cadres.","KNBS, Economic Survey 2023",SG_DMK_JDC,404,M,None,ISCO08_2612,None,RO,2025-03-24T00:00:00,2023,1.059
2023,A,0,"Higher-Level Courts include Court of Appeal, High Courts, Employment & Labour Court and Environment & Land Court.
The Personnel at Lower-Level Courts include Magistrates and Kadhis.
Working age in Kenya is 18 to 69 for Judges and 18-59 for the other cadres.","KNBS, Economic Survey 2023",SG_DMK_JDC,404,M,None,ISCO08_2612,None,RO,2025-03-24T00:00:00,2023,0.91933
2019,A,0,"Higher-Level Courts include Court of Appeal, High Courts, Employment & Labour Court and Environment & Land Court.
The Personnel at Lower-Level Courts include Magistrates and Kadhis.
Working age in Kenya is 18 to 69 for Judges and 18-59 for the other cadres.",Judiciary; 2019 KPH Census,SG_DMK_JDC,404,M,None,ISCO08_2619R,None,RO,2025-03-24T00:00:00,2019,0.88889
2019,A,0,"Higher-Level Courts include Court of Appeal, High Courts, Employment & Labour Court and Environment & Land Court.
The Personnel at Lower-Level Courts include Magistrates and Kadhis.
Working age in Kenya is 18 to 69 for Judges and 18-59 for the other cadres.",Judiciary; 2019 KPH Census,SG_DMK_JDC_CNS,404,None,Y0T44,ISCO08_2612,None,RO,2025-03-24T00:00:00,2019,0.0
2019,A,0,"Higher-Level Courts include Court of Appeal, High Courts, Employment & Labour Court and Environment & Land Court.
The Personnel at Lower-Level Courts include Magistrates and Kadhis.
Working age in Kenya is 18 to 69 for Judges and 18-59 for the other cadres.",Judiciary; 2019 KPH Census,SG_DMK_JDC_CNS,404,None,Y0T44,ISCO08_2619R,None,RO,2025-03-24T00:00:00,2019,0.0
2019,A,0,"Higher-Level Courts include Court of Appeal, High Courts, Employment & Labour Court and Environment & Land Court.
The Personnel at Lower-Level Courts include Magistrates and Kadhis.
Working age in Kenya is 18 to 69 for Judges and 18-59 for the other cadres.",Judiciary; 2019 KPH Census,SG_DMK_JDC_CNS,404,F,None,ISCO08_2612,None,RO,2025-03-24T00:00:00,2019,0.66667
2019,A,0,"Higher-Level Courts include Court of Appeal, High Courts, Employment & Labour Court and Environment & Land Court.
The Personnel at Lower-Level Courts include Magistrates and Kadhis.
Working age in Kenya is 18 to 69 for Judges and 18-59 for the other cadres.",Judiciary; 2019 KPH Census,SG_DMK_JDC_CNS,404,F,None,ISCO08_2619R,None,RO,2025-03-24T00:00:00,2019,2.0
2019,A,0,"Higher-Level Courts include Court of Appeal, High Courts, Employment & Labour Court and Environment & Land Court.
The Personnel at Lower-Level Courts include Magistrates and Kadhis.
Working age in Kenya is 18 to 69 for Judges and 18-59 for the other cadres.",Judiciary; 2019 KPH Census,SG_DMK_JDC_CNS,404,M,None,ISCO08_2612,None,RO,2025-03-24T00:00:00,2019,1.33333
2019,A,0,"Higher-Level Courts include Court of Appeal, High Courts, Employment & Labour Court and Environment & Land Court.
The Personnel at Lower-Level Courts include Magistrates and Kadhis.
Working age in Kenya is 18 to 69 for Judges and 18-59 for the other cadres.",Judiciary; 2019 KPH Census,SG_DMK_JDC_CNS,404,M,None,ISCO08_2619R,None,RO,2025-03-24T00:00:00,2019,0.0
2019,A,0,"Higher-Level Courts include Court of Appeal, High Courts, Employment & Labour Court and Environment & Land Court.
The Personnel at Lower-Level Courts include Magistrates and Kadhis.
Working age in Kenya is 18 to 69 for Judges and 18-59 for the other cadres.",Judiciary; 2019 KPH Census,SG_DMK_JDC_HGR,404,None,Y0T44,ISCO08_2612,None,RO,2025-03-24T00:00:00,2019,0.00874
2019,A,0,"Higher-Level Courts include Court of Appeal, High Courts, Employment & Labour Court and Environment & Land Court.
The Personnel at Lower-Level Courts include Magistrates and Kadhis.
Working age in Kenya is 18 to 69 for Judges and 18-59 for the other cadres.",Judiciary; 2019 KPH Census,SG_DMK_JDC_HGR,404,None,Y0T44,ISCO08_2619R,None,RO,2025-03-24T00:00:00,2019,0.0
2019,A,0,"Higher-Level Courts include Court of Appeal, High Courts, Employment & Labour Court and Environment & Land Court.
The Personnel at Lower-Level Courts include Magistrates and Kadhis.
Working age in Kenya is 18 to 69 for Judges and 18-59 for the other cadres.",Judiciary; 2019 KPH Census,SG_DMK_JDC_HGR,404,F,None,ISCO08_2612,None,RO,2025-03-24T00:00:00,2019,0.89041
2019,A,0,"Higher-Level Courts include Court of Appeal, High Courts, Employment & Labour Court and Environment & Land Court.
The Personnel at Lower-Level Courts include Magistrates and Kadhis.
Working age in Kenya is 18 to 69 for Judges and 18-59 for the other cadres.",Judiciary; 2019 KPH Census,SG_DMK_JDC_HGR,404,F,None,ISCO08_2619R,None,RO,2025-03-24T00:00:00,2019,1.0
2019,A,0,"Higher-Level Courts include Court of Appeal, High Courts, Employment & Labour Court and Environment & Land Court.
The Personnel at Lower-Level Courts include Magistrates and Kadhis.
Working age in Kenya is 18 to 69 for Judges and 18-59 for the other cadres.",Judiciary; 2019 KPH Census,SG_DMK_JDC_HGR,404,M,None,ISCO08_2612,None,RO,2025-03-24T00:00:00,2019,1.10959
2019,A,0,"Higher-Level Courts include Court of Appeal, High Courts, Employment & Labour Court and Environment & Land Court.
The Personnel at Lower-Level Courts include Magistrates and Kadhis.
Working age in Kenya is 18 to 69 for Judges and 18-59 for the other cadres.",Judiciary; 2019 KPH Census,SG_DMK_JDC_HGR,404,M,None,ISCO08_2619R,None,RO,2025-03-24T00:00:00,2019,1.0
2019,A,0,"Higher-Level Courts include Court of Appeal, High Courts, Employment & Labour Court and Environment & Land Court.
The Personnel at Lower-Level Courts include Magistrates and Kadhis.
Working age in Kenya is 18 to 69 for Judges and 18-59 for the other cadres.",Judiciary; 2019 KPH Census,SG_DMK_JDC_LWR,404,None,Y0T44,ISCO08_2612,None,RO,2025-03-24T00:00:00,2019,0.84916
2019,A,0,"Higher-Level Courts include Court of Appeal, High Courts, Employment & Labour Court and Environment & Land Court.
The Personnel at Lower-Level Courts include Magistrates and Kadhis.
Working age in Kenya is 18 to 69 for Judges and 18-59 for the other cadres.",Judiciary; 2019 KPH Census,SG_DMK_JDC_LWR,404,None,Y0T44,ISCO08_2619R,None,RO,2025-03-24T00:00:00,2019,0.63808
2019,A,0,"Higher-Level Courts include Court of Appeal, High Courts, Employment & Labour Court and Environment & Land Court.
The Personnel at Lower-Level Courts include Magistrates and Kadhis.
Working age in Kenya is 18 to 69 for Judges and 18-59 for the other cadres.",Judiciary; 2019 KPH Census,SG_DMK_JDC_LWR,404,F,None,ISCO08_2612,None,RO,2025-03-24T00:00:00,2019,0.95817
2019,A,0,"Higher-Level Courts include Court of Appeal, High Courts, Employment & Labour Court and Environment & Land Court.
The Personnel at Lower-Level Courts include Magistrates and Kadhis.
Working age in Kenya is 18 to 69 for Judges and 18-59 for the other cadres.",Judiciary; 2019 KPH Census,SG_DMK_JDC_LWR,404,F,None,ISCO08_2619R,None,RO,2025-03-24T00:00:00,2019,1.0
2019,A,0,"Higher-Level Courts include Court of Appeal, High Courts, Employment & Labour Court and Environment & Land Court.
The Personnel at Lower-Level Courts include Magistrates and Kadhis.
Working age in Kenya is 18 to 69 for Judges and 18-59 for the other cadres.",Judiciary; 2019 KPH Census,SG_DMK_JDC_LWR,404,M,None,ISCO08_2612,None,RO,2025-03-24T00:00:00,2019,1.04183
