Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,PRODUCT,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2005,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMFN,404,None,PT,2025-03-26T00:00:00,2023,6.17123
2010,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMFN,404,None,PT,2025-03-26T00:00:00,2023,8.03052
2015,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMFN,404,None,PT,2025-03-26T00:00:00,2023,9.12263
2016,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMFN,404,None,PT,2025-03-26T00:00:00,2023,7.85394
2017,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMFN,404,None,PT,2025-03-26T00:00:00,2023,12.64824
2018,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMFN,404,None,PT,2025-03-26T00:00:00,2023,12.84998
2019,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMFN,404,None,PT,2025-03-26T00:00:00,2023,11.23238
2020,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMFN,404,None,PT,2025-03-26T00:00:00,2023,12.78071
2021,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMFN,404,None,PT,2025-03-26T00:00:00,2023,12.32741
2022,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMFN,404,None,PT,2025-03-26T00:00:00,2023,10.84908
2023,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMFN,404,None,PT,2025-03-26T00:00:00,2023,12.38861
2005,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMFN,404,AGG_AGR,PT,2025-03-26T00:00:00,2023,16.32124
2010,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMFN,404,AGG_AGR,PT,2025-03-26T00:00:00,2023,24.02406
2015,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMFN,404,AGG_AGR,PT,2025-03-26T00:00:00,2023,24.45635
2016,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMFN,404,AGG_AGR,PT,2025-03-26T00:00:00,2023,25.17132
2017,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMFN,404,AGG_AGR,PT,2025-03-26T00:00:00,2023,36.25523
2018,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMFN,404,AGG_AGR,PT,2025-03-26T00:00:00,2023,37.27802
2019,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMFN,404,AGG_AGR,PT,2025-03-26T00:00:00,2023,30.6179
2020,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMFN,404,AGG_AGR,PT,2025-03-26T00:00:00,2023,29.1809
2021,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMFN,404,AGG_AGR,PT,2025-03-26T00:00:00,2023,27.89492
2022,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMFN,404,AGG_AGR,PT,2025-03-26T00:00:00,2023,28.41129
2023,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMFN,404,AGG_AGR,PT,2025-03-26T00:00:00,2023,36.74078
2005,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMFN,404,AGG_ARMS,PT,2025-03-26T00:00:00,2023,24.77987
2010,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMFN,404,AGG_ARMS,PT,2025-03-26T00:00:00,2023,7.32023
2015,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMFN,404,AGG_ARMS,PT,2025-03-26T00:00:00,2023,3.28843
2016,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMFN,404,AGG_ARMS,PT,2025-03-26T00:00:00,2023,10.84461
2017,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMFN,404,AGG_ARMS,PT,2025-03-26T00:00:00,2023,21.07819
2018,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMFN,404,AGG_ARMS,PT,2025-03-26T00:00:00,2023,21.07819
2019,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMFN,404,AGG_ARMS,PT,2025-03-26T00:00:00,2023,22.26258
2020,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMFN,404,AGG_ARMS,PT,2025-03-26T00:00:00,2023,14.92442
2021,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMFN,404,AGG_ARMS,PT,2025-03-26T00:00:00,2023,17.00507
2022,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMFN,404,AGG_ARMS,PT,2025-03-26T00:00:00,2023,24.67594
2023,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMFN,404,AGG_ARMS,PT,2025-03-26T00:00:00,2023,25.0
2005,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMFN,404,AGG_CLTH,PT,2025-03-26T00:00:00,2023,25.02949
2010,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMFN,404,AGG_CLTH,PT,2025-03-26T00:00:00,2023,25.0093
2015,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMFN,404,AGG_CLTH,PT,2025-03-26T00:00:00,2023,25.01528
2016,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMFN,404,AGG_CLTH,PT,2025-03-26T00:00:00,2023,25.00233
2017,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMFN,404,AGG_CLTH,PT,2025-03-26T00:00:00,2023,25.08305
2018,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMFN,404,AGG_CLTH,PT,2025-03-26T00:00:00,2023,25.08305
2019,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMFN,404,AGG_CLTH,PT,2025-03-26T00:00:00,2023,27.94643
2020,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMFN,404,AGG_CLTH,PT,2025-03-26T00:00:00,2023,35.00516
2021,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMFN,404,AGG_CLTH,PT,2025-03-26T00:00:00,2023,35.00004
2022,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMFN,404,AGG_CLTH,PT,2025-03-26T00:00:00,2023,35.23643
2023,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMFN,404,AGG_CLTH,PT,2025-03-26T00:00:00,2023,25.17338
2005,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMFN,404,AGG_IND,PT,2025-03-26T00:00:00,2023,5.28241
2010,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMFN,404,AGG_IND,PT,2025-03-26T00:00:00,2023,5.82394
2015,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMFN,404,AGG_IND,PT,2025-03-26T00:00:00,2023,7.1371
2016,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMFN,404,AGG_IND,PT,2025-03-26T00:00:00,2023,5.43856
2017,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMFN,404,AGG_IND,PT,2025-03-26T00:00:00,2023,6.46824
